t,motion_raw,motion_smooth,is_boundary
4841,0.025607,0.025769,0
4842,0.025679,0.025733,0
4843,0.026535,0.025457,0
4844,0.025862,0.025744,0
4845,0.025838,0.025827,0
4846,0.025928,0.025885,0
4847,0.024588,0.025788,0
4848,0.024963,0.025933,0
4849,0.025036,0.025998,0
4850,0.025021,0.026049,0
4851,0.025841,0.025822,0
4852,0.024848,0.025934,0
4853,0.024802,0.026021,0
4854,0.024800,0.026095,0
4855,0.033536,0.025886,0
4856,0.025425,0.026215,0
4857,0.025159,0.026384,0
4858,0.030382,0.026498,0
4859,0.025268,0.026688,0
4860,0.025060,0.026804,0
4861,0.025086,0.026884,0
4862,0.028327,0.026851,0
4863,0.025248,0.026824,0
4864,0.025187,0.026768,0
4865,0.025133,0.026673,0
4866,0.031440,0.026209,0
4867,0.025444,0.026180,0
4868,0.025552,0.026071,0
4869,0.025492,0.025913,0
4870,0.031935,0.025491,0
4871,0.024593,0.025798,0
4872,0.024582,0.025756,0
4873,0.025166,0.025590,0
4874,0.023910,0.025777,0
4875,0.024098,0.025744,0
4876,0.024119,0.025683,0
4877,0.026218,0.025148,0
4878,0.024253,0.025378,0
4879,0.024297,0.025477,0
4880,0.024313,0.025550,0
4881,0.032294,0.025535,0
4882,0.024737,0.025949,0
4883,0.024652,0.026095,0
4884,0.024692,0.026229,0
4885,0.030076,0.026160,0
4886,0.025243,0.026718,0
4887,0.025095,0.026922,0
4888,0.027168,0.027096,0
4889,0.025813,0.027261,0
4890,0.025748,0.027309,0
4891,0.025813,0.027310,0
4892,0.036947,0.027026,0
4893,0.026340,0.027092,0
4894,0.026071,0.027029,0
4895,0.026092,0.026915,0
4896,0.027626,0.026591,0
4897,0.025822,0.026902,0
4898,0.025860,0.026836,0
4899,0.025847,0.026712,0
4900,0.030247,0.026350,0
4901,0.024977,0.026454,0
4902,0.025169,0.026331,0
4903,0.024829,0.025986,0
4904,0.024695,0.025990,0
4905,0.024830,0.025902,0
4906,0.024779,0.025780,0
4907,0.030339,0.025552,0
4908,0.025306,0.026049,0
4909,0.025191,0.026097,0
4910,0.025154,0.026118,0
4911,0.028927,0.025961,0
4912,0.024482,0.026133,0
4913,0.024696,0.026196,0
4914,0.024735,0.026229,0
4915,0.029265,0.026142,0
4916,0.025676,0.026412,0
4917,0.025659,0.026420,0
4918,0.030100,0.026308,0
4919,0.025266,0.026274,0
4920,0.025372,0.026193,0
4921,0.025399,0.026083,0
4922,0.027389,0.025862,0
4923,0.025129,0.025989,0
4924,0.025159,0.025891,0
4925,0.025132,0.025771,0
4926,0.029097,0.025628,0
4927,0.024308,0.025679,0
4928,0.024355,0.025522,0
4929,0.024392,0.025347,0
4930,0.026654,0.025129,0
4931,0.024214,0.025169,0
4932,0.024359,0.025054,0
4933,0.026711,0.024035,0
4934,0.024384,0.024359,0
4935,0.024390,0.024517,0
4936,0.024325,0.024689,0
4937,0.025988,0.024722,0
4938,0.024840,0.025087,0
4939,0.024826,0.025354,0
4940,0.024736,0.025612,0
4941,0.024727,0.025875,0
4942,0.024684,0.026281,0
4943,0.024627,0.026490,0
4944,0.024621,0.026692,0
4945,0.025083,0.026839,0
4946,0.024584,0.027170,0
4947,0.024598,0.027379,0
4948,0.046464,0.027149,0
4949,0.027561,0.027532,0
4950,0.027161,0.027826,0
4951,0.027146,0.028086,0
4952,0.030736,0.027532,0
4953,0.026807,0.028133,0
4954,0.026791,0.028649,0
4955,0.026808,0.029062,0
4956,0.026435,0.028863,0
4957,0.028014,0.029234,0
4958,0.027901,0.029498,0
4959,0.027905,0.029670,0
4960,0.028982,0.029229,0
4961,0.027636,0.029468,0
4962,0.027586,0.029543,0
4963,0.037767,0.027971,0
4964,0.028972,0.029582,0
4965,0.028353,0.030282,0
4966,0.028322,0.030846,0
4967,0.047165,0.022593,0
4968,0.026967,0.026162,0
4969,0.026039,0.029246,0
4970,0.026281,0.032024,0
4971,0.038851,0.024345,0
4972,0.027192,0.030193,0
4973,0.027415,0.035540,0
4974,0.027299,0.040307,0
4975,0.039784,0.040948,0
